         72940 function calls (71769 primitive calls) in 0.269 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      2/1    0.000    0.000    0.269    0.269 memory_profiler.py:1185(wrapper)
      2/1    0.000    0.000    0.222    0.222 memory_profiler.py:759(f)
        1    0.005    0.005    0.222    0.222 parallel_sim.py:26(simulate_physical_system_parallel)
        8    0.000    0.000    0.145    0.018 threading.py:582(wait)
        8    0.000    0.000    0.145    0.018 threading.py:288(wait)
       38    0.145    0.004    0.145    0.004 {method 'acquire' of '_thread.lock' objects}
        2    0.000    0.000    0.144    0.072 pool.py:359(map)
        2    0.000    0.000    0.144    0.072 pool.py:764(get)
        2    0.000    0.000    0.144    0.072 pool.py:761(wait)
        2    0.000    0.000    0.051    0.025 memory_profiler.py:713(__call__)
        2    0.000    0.000    0.051    0.025 memory_profiler.py:728(add_function)
        2    0.000    0.000    0.051    0.025 memory_profiler.py:645(add)
        2    0.000    0.000    0.051    0.025 inspect.py:1120(getsourcelines)
        2    0.000    0.000    0.038    0.019 inspect.py:932(findsource)
        2    0.001    0.000    0.037    0.018 inspect.py:850(getmodule)
        2    0.000    0.000    0.031    0.015 context.py:115(Pool)
        1    0.001    0.001    0.029    0.029 parallel_sim.py:8(generate_matrices)
        3    0.028    0.009    0.028    0.009 {method 'rand' of 'numpy.random.mtrand.RandomState' objects}
      274    0.000    0.000    0.028    0.000 posixpath.py:391(realpath)
      274    0.005    0.000    0.025    0.000 posixpath.py:400(_joinrealpath)
        2    0.001    0.000    0.017    0.009 pool.py:183(__init__)
     11/4    0.000    0.000    0.017    0.004 <frozen importlib._bootstrap>:1022(_find_and_load)
     11/4    0.000    0.000    0.017    0.004 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
     10/4    0.000    0.000    0.015    0.004 <frozen importlib._bootstrap>:664(_load_unlocked)
      8/4    0.000    0.000    0.015    0.004 <frozen importlib._bootstrap_external>:877(exec_module)
     13/4    0.000    0.000    0.013    0.003 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
